Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Travis Kelce,593.8,30,16,16,1,4,1,1,4,4,0.3,0.1,136,97,1229,12.7,5,65,47,6.1,76.8,0.713,9,98,12.6,1233,6,1
Travis Kelce,488.4,31,15,15,0,0,0,0,0,0,0,0,145,105,1416,13.5,11,79,45,7,94.4,0.724,9.8,105,13.5,1416,11,1
Travis Kelce,582.9,32,16,16,2,3,1,1,4,1.5,0.2,0.1,134,92,1125,12.2,9,63,69,5.8,70.3,0.687,8.4,94,12,1128,10,1
Joe Mixon,536.2,21,14,7,178,626,4,39,25,3.5,44.7,12.7,34,30,287,9.6,0,10,67,2.1,20.5,0.882,8.4,208,4.4,913,4,3
Joe Mixon,510.2,22,14,13,237,1168,8,60,51,4.9,83.4,16.9,55,43,296,6.9,1,14,21,3.1,21.1,0.782,5.4,280,5.2,1464,9,0
Joe Mixon,212.8,23,16,15,278,1137,5,56,41,4.1,71.1,17.4,45,35,287,8.2,3,14,33,2.2,17.9,0.778,6.4,313,4.5,1424,8,0
Joe Mixon,589.7,24,6,6,119,428,3,20,34,3.6,71.3,19.8,26,21,138,6.6,1,5,19,3.5,23,0.808,5.3,140,4,566,4,1
Joe Mixon,490.5,25,16,16,292,1205,13,60,32,4.1,75.3,18.3,48,42,314,7.5,3,11,52,2.6,19.6,0.875,6.5,334,4.5,1519,16,2
Terry McLaurin,453.4,24,14,14,0,0,0,0,0,0,0,0,93,58,919,15.8,7,43,75,4.1,65.6,0.624,9.9,58,15.8,919,7,0
Terry McLaurin,426.5,25,15,15,2,30,0,2,27,15,2,0.1,134,87,1118,12.9,4,51,68,5.8,74.5,0.649,8.3,89,12.9,1148,4,1
Terry McLaurin,471,26,17,17,1,12,0,1,12,12,0.7,0.1,130,77,1053,13.7,5,47,46,4.5,61.9,0.592,8.1,78,13.7,1065,5,0
Leonard Fournette,245.2,22,13,13,268,1040,9,51,90,3.9,80,20.6,48,36,302,8.4,1,18,28,2.8,23.2,0.75,6.3,304,4.4,1342,10,2
Leonard Fournette,594.2,23,8,8,133,439,5,23,25,3.3,54.9,16.6,26,22,185,8.4,1,10,31,2.8,23.1,0.846,7.1,155,4,624,6,0
Leonard Fournette,252,24,15,15,265,1152,3,55,81,4.3,76.8,17.7,100,76,522,6.9,0,23,27,5.1,34.8,0.76,5.2,341,4.9,1674,3,1
Leonard Fournette,506.8,25,13,3,97,367,6,21,46,3.8,28.2,7.5,47,36,233,6.5,0,9,20,2.8,17.9,0.766,5,133,4.5,600,6,0
Leonard Fournette,466.3,26,14,13,180,812,8,45,47,4.5,58,12.9,84,69,454,6.6,2,30,23,4.9,32.4,0.821,5.4,249,5.1,1266,10,1
Amari Cooper,454.9,21,16,15,3,-3,0,0,2,-1,-0.2,0.2,130,72,1070,14.9,6,47,68,4.5,66.9,0.554,8.2,75,14.2,1067,6,1
Amari Cooper,293.2,22,16,14,1,0,0,0,0,0,0,0.1,132,83,1153,13.9,5,49,64,5.2,72.1,0.629,8.7,84,13.7,1153,5,2
Amari Cooper,420.5,23,14,12,1,4,0,1,4,4,0.3,0.1,96,48,680,14.2,7,28,87,3.4,48.6,0.5,7.1,49,14,684,7,1
Amari Cooper,305.8,24,15,15,2,20,0,1,11,10,1.3,0.1,107,75,1005,13.4,7,53,90,5,67,0.701,9.4,77,13.3,1025,7,2
Amari Cooper,114.7,0,9,9,1,11,0,1,11,11,1.2,0.1,76,53,725,13.7,6,39,90,5.9,80.6,0.697,9.5,54,13.6,736,6,2
Amari Cooper,485.5,0,6,6,1,9,0,0,9,9,1.5,0.2,31,22,280,12.7,1,14,36,3.7,46.7,0.71,9,23,12.6,289,1,0
Amari Cooper,460.4,25,16,16,1,6,0,0,6,6,0.4,0.1,119,79,1189,15.1,8,54,53,4.9,74.3,0.664,10,80,14.9,1195,8,0
Amari Cooper,373.5,26,16,15,6,14,0,1,10,2.3,0.9,0.4,130,92,1114,12.1,5,54,69,5.8,69.6,0.708,8.6,98,11.5,1128,5,0
Amari Cooper,480,27,15,14,0,0,0,0,0,0,0,0,104,68,865,12.7,8,45,41,4.5,57.7,0.654,8.3,68,12.7,865,8,1
Jamaal Williams,247.2,22,16,7,153,556,4,32,25,3.6,34.8,9.6,34,25,262,10.5,2,12,54,1.6,16.4,0.735,7.7,178,4.6,818,6,0
Jamaal Williams,288.9,23,16,8,121,464,3,25,20,3.8,29,7.6,41,27,210,7.8,0,11,26,1.7,13.1,0.659,5.1,148,4.6,674,3,0
